Williamson TC1 conservation diagnostics

   day          M[m3]          KE[J]          PE[J]          ME[J]
  0.00   2.040258e+18   1.013789e+24   0.000000e+00   1.013789e+24
  1.00   2.040258e+18   1.013789e+24   0.000000e+00   1.013789e+24
  2.00   2.040258e+18   1.013789e+24   0.000000e+00   1.013789e+24
  3.00   2.040258e+18   1.013789e+24   0.000000e+00   1.013789e+24
  4.00   2.040258e+18   1.013789e+24   0.000000e+00   1.013789e+24
  5.00   2.040258e+18   1.013789e+24   0.000000e+00   1.013789e+24
  6.00   2.040258e+18   1.013789e+24   0.000000e+00   1.013789e+24
  7.00   2.040258e+18   1.013789e+24   0.000000e+00   1.013789e+24
  8.00   2.040258e+18   1.013789e+24   0.000000e+00   1.013789e+24
  9.00   2.040258e+18   1.013789e+24   0.000000e+00   1.013789e+24
 10.00   2.040258e+18   1.013789e+24   0.000000e+00   1.013789e+24
 11.00   2.040258e+18   1.013789e+24   0.000000e+00   1.013789e+24
 12.00   2.040258e+18   1.013789e+24   0.000000e+00   1.013789e+24
