iter,residual
1,1.40108347621476E+08
2,2.24362862621482E+08
3,2.81813307503493E+08
4,2.91881693415655E+08
5,2.66590511944912E+08
6,2.53551990116604E+08
7,2.65112302973297E+08
8,2.76242090917561E+08
9,2.75566981063896E+08
10,2.63916069367114E+08
11,2.65472850010594E+08
12,2.59430203000828E+08
13,2.48942357457194E+08
14,2.40324970102202E+08
15,2.35524068034643E+08
16,2.33673848139443E+08
17,2.24421429783218E+08
18,2.15881021052620E+08
19,2.16119950234899E+08
20,2.14918676638205E+08
21,2.12624216003499E+08
22,2.09494564670011E+08
23,2.04355869253083E+08
24,2.06310716291898E+08
25,2.02337614617874E+08
26,1.96003275406572E+08
27,1.84373581056302E+08
28,1.78970449045846E+08
29,1.72900498833366E+08
30,1.68129118379250E+08
31,1.63103287038020E+08
32,1.54963143336626E+08
33,1.50746737148345E+08
34,1.48866696400546E+08
35,1.46551952193402E+08
36,1.39087682981436E+08
37,1.36278044882295E+08
38,1.35068988948752E+08
39,1.34045103702541E+08
40,1.30475573354839E+08
41,1.25226695959610E+08
42,1.19311599206438E+08
43,1.18726451835114E+08
44,1.15918234535856E+08
45,1.12808976346845E+08
46,1.10301261626400E+08
47,1.08675794422579E+08
48,1.08008450357245E+08
49,1.06902806466891E+08
50,1.03669220988629E+08
51,1.00794802424774E+08
52,9.90004231349665E+07
53,9.85303979582991E+07
54,1.01164449868894E+08
55,9.95240279427838E+07
56,9.68378745151791E+07
57,9.61024289130458E+07
58,9.45776181304274E+07
59,9.34563211651218E+07
60,9.25632216756307E+07
61,9.15723926256082E+07
62,8.99501436792855E+07
63,8.76874536096332E+07
64,8.48306078714025E+07
65,8.24997343556384E+07
66,8.04872473149657E+07
67,8.02604742972090E+07
68,7.85077416033796E+07
69,7.60921644956229E+07
70,7.50212903128778E+07
71,7.32306998308176E+07
72,7.23505846761136E+07
73,7.03809212086132E+07
74,6.92532302337768E+07
75,6.71647714686956E+07
76,6.53388684702925E+07
77,6.17983420991622E+07
78,5.96355152948466E+07
79,5.84786071307355E+07
80,5.68154992952569E+07
81,5.56508243632384E+07
82,5.51096200120023E+07
83,5.44691535484577E+07
84,5.46802600199871E+07
85,5.45284212244116E+07
86,5.57219820736097E+07
87,5.51886387279568E+07
